stage,feature_family,held_out_dataset,n_records,n_subjects,no_experience,experience,subject_equal_auroc,cluster_ci_2.5,cluster_ci_97.5,valid_bootstraps,balanced_accuracy_at_0.5
REM,Catch22 broadband (published),DeGenearoMA,154,19,29,125,0.5760449497424095,0.4601530345526823,0.6726161468979501,2000,0.48964476791128153
REM,Catch22 broadband (published),Zhang_Wamsley_2019,26,20,9,17,0.5333333333333333,0.2563873626373626,0.8077020202020202,2000,0.5
REM,Catch22 broadband (published),rem_Turku,125,18,3,122,0.4453843134824732,0.32197394834420184,0.5475177860311102,2000,0.5
REM,Catch22 broadband (published),MACRO_MEAN,335,87,51,284,0.561190649139554,,,,0.49741119197782035
REM,Catch22 filtered (adapted),DeGenaro_YoungAdults,30,30,10,20,0.6699999999999999,0.39994318181818184,0.8973315746753245,2000,0.5
REM,Catch22 filtered (adapted),DeGenearoMA,154,19,29,125,0.4053869662079648,0.2902898388195972,0.5436508648641485,2000,0.5
REM,Catch22 filtered (adapted),Zhang_Wamsley_2019,26,20,9,17,0.56,0.3131696428571429,0.8033354700854701,2000,0.5
REM,Catch22 filtered (adapted),rem_Turku,125,18,3,122,0.1824622503150111,0.06713523565636248,0.2981111012455231,2000,0.5
REM,Catch22 filtered (adapted),MACRO_MEAN,335,87,51,284,0.45446230413074395,,,,0.5
REM,Riemannian covariance,DeGenaro_YoungAdults,30,30,10,20,0.575,0.3517512077294686,0.7847874245852182,2000,0.5
REM,Riemannian covariance,DeGenearoMA,154,19,29,125,0.47192842856418793,0.35807943357985794,0.5669488601312836,2000,0.5
REM,Riemannian covariance,Zhang_Wamsley_2019,26,20,9,17,0.5146666666666667,0.29120879120879123,0.7621571291560102,2000,0.5
REM,Riemannian covariance,rem_Turku,125,18,3,122,0.5289615996364465,0.26809988720200023,0.7260585729051492,2000,0.5
REM,Riemannian covariance,MACRO_MEAN,335,87,51,284,0.5226391737168253,,,,0.5
REM,Log-Euclidean domain alignment,DeGenaro_YoungAdults,30,30,10,20,0.63,0.41203022875816986,0.8352460618085616,2000,0.5
REM,Log-Euclidean domain alignment,DeGenearoMA,154,19,29,125,0.4678259238583172,0.32987834216505485,0.5804547207056263,2000,0.5
REM,Log-Euclidean domain alignment,Zhang_Wamsley_2019,26,20,9,17,0.6373333333333334,0.3939374564054871,0.8672058935216829,2000,0.5
REM,Log-Euclidean domain alignment,rem_Turku,125,18,3,122,0.5258804817087028,0.2972383714524945,0.8171797451374918,2000,0.5
REM,Log-Euclidean domain alignment,MACRO_MEAN,335,87,51,284,0.5652599347250884,,,,0.5
REM,Temporal irreversibility,DeGenaro_YoungAdults,30,30,10,20,0.7250000000000001,0.49993386243386245,0.9101276742581086,2000,0.5
REM,Temporal irreversibility,DeGenearoMA,154,19,29,125,0.4204254149385266,0.3146665811463748,0.5355403604173278,2000,0.5
REM,Temporal irreversibility,Zhang_Wamsley_2019,26,20,9,17,0.5680000000000001,0.27969426406926406,0.86,2000,0.5
REM,Temporal irreversibility,rem_Turku,125,18,3,122,0.6417557993018118,0.36349598469163663,0.8744631868660162,2000,0.5
REM,Temporal irreversibility,MACRO_MEAN,335,87,51,284,0.5887953035600846,,,,0.5
REM,Surrogate-normalized irreversibility,DeGenaro_YoungAdults,30,30,10,20,0.48500000000000004,0.22360248447204972,0.7368421052631579,2000,0.5
REM,Surrogate-normalized irreversibility,DeGenearoMA,154,19,29,125,0.4828718003283302,0.3584055158511747,0.6021763804417227,2000,0.5
REM,Surrogate-normalized irreversibility,Zhang_Wamsley_2019,26,20,9,17,0.6000000000000001,0.3233308080808081,0.8510239109848485,2000,0.5
REM,Surrogate-normalized irreversibility,rem_Turku,125,18,3,122,0.2861738034744171,0.053112173038229356,0.49306772360703843,2000,0.5
REM,Surrogate-normalized irreversibility,MACRO_MEAN,335,87,51,284,0.4635114009506869,,,,0.5
REM,Geometry + irreversibility,DeGenaro_YoungAdults,30,30,10,20,0.5349999999999999,0.30000000000000004,0.78,2000,0.5
REM,Geometry + irreversibility,DeGenearoMA,154,19,29,125,0.4269823189084363,0.3066649168098742,0.5333088591775016,2000,0.5
REM,Geometry + irreversibility,Zhang_Wamsley_2019,26,20,9,17,0.48000000000000004,0.23075000000000007,0.7637605042016806,2000,0.5
REM,Geometry + irreversibility,rem_Turku,125,18,3,122,0.7519439796740413,0.4129606028794642,0.9964717741935484,2000,0.5
REM,Geometry + irreversibility,MACRO_MEAN,335,87,51,284,0.5484815746456193,,,,0.5
