stage,feature_family,total_pairs,within_pairs,cross_pairs,within_pair_fraction,cross_pair_fraction,within_concordance,cross_concordance,within_auroc_contribution,cross_auroc_contribution,reconstructed_pooled_auroc,direct_pooled_auroc
NREM,PSD (published),122200,37441,84759,0.30639116202945993,0.6936088379705401,0.49759421489810635,0.5497088804728701,0.15245846972176758,0.381282937806874,0.5337414075286415,0.5337414075286415
REM,Catch22 filtered (adapted),14484,4344,10140,0.299917149958575,0.700082850041425,0.49775552486187846,0.6846129191321499,0.14928541839270917,0.4792857636012151,0.6285711819939243,0.6285711819939244
