analysis,stage,feature_family,weighting,estimand,estimate,ci_low,ci_high,valid_bootstraps,n_labs,n_participants,n_positive,n_negative,n_within_pairs
eeg_model,NREM,PSD (published),participant_equal,site_macro,0.5067541656285113,0.45683587943636145,0.5575378979345782,2000,4,117,470,260,37441
eeg_model,NREM,PSD (published),participant_equal,within_pair_weighted,0.5073862698522288,0.4514905298088083,0.5636091063720132,2000,4,117,470,260,37441
eeg_model,NREM,PSD (published),participant_equal,site_macro_fold_conditioned,0.5203272769317889,0.4693601280178917,0.5760802708746939,2000,4,117,470,260,37441
eeg_model,NREM,PSD (published),participant_equal,within_pair_weighted_fold_conditioned,0.5165241677520725,0.464341704858833,0.5739039593241076,2000,4,117,470,260,37441
eeg_model,NREM,Riemannian covariance,record,pooled,0.5080787643207857,0.4697071785379512,0.5449561048101411,2000,4,117,470,260,37441
eeg_model,NREM,Riemannian covariance,record,site_macro,0.4689268388266058,0.4327178526054902,0.5089850810837395,2000,4,117,470,260,37441
eeg_model,NREM,Riemannian covariance,record,within_pair_weighted,0.4640547795197778,0.43344009628245317,0.4991873748759215,2000,4,117,470,260,37441
eeg_model,NREM,Riemannian covariance,record,site_macro_fold_conditioned,0.4978921727167648,0.45887339262910104,0.5417077961723707,2000,4,117,470,260,37441
eeg_model,NREM,Riemannian covariance,record,within_pair_weighted_fold_conditioned,0.4876594300413238,0.4509921838364862,0.5284104795434026,2000,4,117,470,260,37441
eeg_model,NREM,Riemannian covariance,participant_equal,pooled,0.4963532029620373,0.45075005457266026,0.5412717299719265,2000,4,117,470,260,37441
eeg_model,NREM,Riemannian covariance,participant_equal,site_macro,0.4616361948499317,0.4226912998098745,0.5035295245509402,2000,4,117,470,260,37441
eeg_model,NREM,Riemannian covariance,participant_equal,within_pair_weighted,0.4690547140502122,0.4282664171116749,0.5115721225730784,2000,4,117,470,260,37441
eeg_model,NREM,Riemannian covariance,participant_equal,site_macro_fold_conditioned,0.49071505505457963,0.4490784107720815,0.5378792614825509,2000,4,117,470,260,37441
eeg_model,NREM,Riemannian covariance,participant_equal,within_pair_weighted_fold_conditioned,0.4955939817626076,0.4528225919649163,0.5430527390613411,2000,4,117,470,260,37441
eeg_model,NREM,Surrogate-normalized irreversibility,record,pooled,0.5332862111292964,0.5019034191432034,0.5654780414459788,2000,4,117,470,260,37441
eeg_model,NREM,Surrogate-normalized irreversibility,record,site_macro,0.5132476375828592,0.4725662755774377,0.5594771791892501,2000,4,117,470,260,37441
eeg_model,NREM,Surrogate-normalized irreversibility,record,within_pair_weighted,0.5248177132021047,0.49528638767657546,0.5549905080219694,2000,4,117,470,260,37441
eeg_model,NREM,Surrogate-normalized irreversibility,record,site_macro_fold_conditioned,0.5334545042752872,0.48759365960134965,0.5795010813110717,2000,4,117,470,260,37441
eeg_model,NREM,Surrogate-normalized irreversibility,record,within_pair_weighted_fold_conditioned,0.5395791404175251,0.5033657734436375,0.5744458333571015,2000,4,117,470,260,37441
eeg_model,NREM,Surrogate-normalized irreversibility,participant_equal,pooled,0.5145798064116539,0.4678876829030404,0.5669143198688691,2000,4,117,470,260,37441
eeg_model,NREM,Surrogate-normalized irreversibility,participant_equal,site_macro,0.5141681916487335,0.47090210278135497,0.5614496254085335,2000,4,117,470,260,37441
eeg_model,NREM,Surrogate-normalized irreversibility,participant_equal,within_pair_weighted,0.5118870463120525,0.4654158077010343,0.5649785723396179,2000,4,117,470,260,37441
eeg_model,NREM,Surrogate-normalized irreversibility,participant_equal,site_macro_fold_conditioned,0.5349833699758555,0.48805483733967775,0.5819109783323871,2000,4,117,470,260,37441
eeg_model,NREM,Surrogate-normalized irreversibility,participant_equal,within_pair_weighted_fold_conditioned,0.5305009412005416,0.4832137099988998,0.5837650246529571,2000,4,117,470,260,37441
eeg_model,NREM,Temporal irreversibility,record,pooled,0.5134099836333877,0.47917825021063726,0.5499384868942828,2000,4,117,470,260,37441
